Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
116 ST-COLUMBIA-1,307,117,IRT,Broadway - 7Av,116 St-Columbia University,M,1,Subway,40.807722,-73.96411,Uptown & The Bronx,Downtown,"N"
121 ST-JZ,80,J12,BMT,Jamaica,121 St,Q,J Z,Elevated,40.700492,-73.828294,Jamaica,Manhattan,"N"
125 ST-1,306,116,IRT,Broadway - 7Av,125 St,M,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown,"N"
125 ST-23,439,225,IRT,Lenox - White Plains Rd,125 St,M,2 3,Subway,40.807754,-73.945495,Uptown & The Bronx,Downtown & Brooklyn,"N"
125 ST-456,392,621,IRT,Lexington Av,125 St,M,4 5 6,Subway,40.804138,-73.937594,The Bronx,Downtown & Brooklyn,"N"
125 ST-ACBD,153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343,Uptown & The Bronx,Downtown & Brooklyn,"N"
135 ST-23,438,224,IRT,Lenox - White Plains Rd,135 St,M,2 3,Subway,40.814229,-73.94077,Uptown & The Bronx,Downtown & Brooklyn,"N"
135 ST-BC,152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn,"N"
137 ST CITY COL-1,305,115,IRT,Broadway - 7Av,137 St-City College,M,1,Subway,40.822008,-73.953676,Uptown & The Bronx,Downtown,"N"
138/GRAND CONC-45,391,416,IRT,Jerome Av,138 St-Grand Concourse,Bx,4 5,Subway,40.813224,-73.929849,Woodlawn - Eastchester Dyre Av,Manhattan,"N"
14 ST-123FLM,601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209,Uptown & Queens,Downtown & Brooklyn,"Y"
14 ST-ACEL,618,A31,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169,Uptown - Queens,Downtown & Brooklyn,"Y"
14 ST-UNION SQ-456LNQRW,602,R20,BMT,Broadway - Brighton,14 St-Union Sq,M,4 5 6 L N Q R W,Subway,40.735736,-73.990568,Uptown & Queens,Downtown & Brooklyn,"Y"
145 ST-1,304,114,IRT,Broadway - 7Av,145 St,M,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown,"N"
145 ST-3,437,302,IRT,Lenox - White Plains Rd,145 St,M,3,Subway,40.820421,-73.936245,148 St,Downtown & Brooklyn,"N"
145 ST-ABCD,151,A12,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn,"N"
149/GRAND CONC-245,603,415,IRT,Jerome Av,149 St-Grand Concourse,Bx,4,Subway,40.818375,-73.927351,Woodlawn,Manhattan,"N"
14TH STREET-1-PATH,912,,,,PATH-14 St,M,,,,,,,"Y"
